T,H,year,month,day,date
27.920000000000002,73.25,2005,2,26,2005-02-26
28.440000000000001,73.25,2005,2,27,2005-02-27
27.920000000000002,73,2005,2,28,2005-02-28
28.460000000000001,70,2005,3,1,2005-03-01
28.539999999999999,71.5,2005,3,2,2005-03-02
28.859999999999999,70.5,2005,3,3,2005-03-03
28.960000000000001,65,2005,3,4,2005-03-04
28.440000000000001,71,2005,3,5,2005-03-05
27.920000000000002,69.25,2005,3,6,2005-03-06
27.98,68.25,2005,3,7,2005-03-07
27.920000000000002,65.75,2005,3,8,2005-03-08
27.620000000000001,65.5,2005,3,9,2005-03-09
28.379999999999999,71.75,2005,3,10,2005-03-10
28.780000000000001,70,2005,3,11,2005-03-11
28.440000000000001,68.75,2005,3,12,2005-03-12
27.879999999999999,75.75,2005,3,13,2005-03-13
28.460000000000001,69.75,2005,3,14,2005-03-14
28.699999999999999,68.75,2005,3,15,2005-03-15
28.48,69.75,2005,3,16,2005-03-16
28.5,73.5,2005,3,17,2005-03-17
28.219999999999999,72.75,2005,3,18,2005-03-18
29.059999999999999,72,2005,3,19,2005-03-19
27.940000000000001,74.75,2005,3,20,2005-03-20
27.920000000000002,71,2005,3,21,2005-03-21
28.219999999999999,72,2005,3,22,2005-03-22
27.98,71.25,2005,3,23,2005-03-23
28.059999999999999,71.75,2005,3,24,2005-03-24
28.100000000000001,73,2005,3,25,2005-03-25
28.100000000000001,74.25,2005,3,26,2005-03-26
27.16,82,2005,3,27,2005-03-27
27.120000000000001,85.25,2005,3,28,2005-03-28
27.66,79.75,2005,3,29,2005-03-29
27.199999999999999,83.25,2005,3,30,2005-03-30
27.539999999999999,80,2005,3,31,2005-03-31
27.199999999999999,75.5,2005,4,1,2005-04-01
25.640000000000001,93.75,2005,4,2,2005-04-02
26.16,88.25,2005,4,3,2005-04-03
27.739999999999998,71.75,2005,4,4,2005-04-04
27.539999999999999,74.75,2005,4,5,2005-04-05
28.399999999999999,72.5,2005,4,6,2005-04-06
27.66,79.25,2005,4,7,2005-04-07
27.699999999999999,76.75,2005,4,8,2005-04-08
26.84,85,2005,4,9,2005-04-09
27.280000000000001,76.5,2005,4,10,2005-04-10
25.859999999999999,80.25,2005,4,11,2005-04-11
27.120000000000001,73.75,2005,4,12,2005-04-12
27.620000000000001,74.5,2005,4,13,2005-04-13
27.879999999999999,75.75,2005,4,14,2005-04-14
27.399999999999999,78.75,2005,4,15,2005-04-15
27.120000000000001,80.5,2005,4,16,2005-04-16
27.059999999999999,75.75,2005,4,17,2005-04-17
26.399999999999999,79.25,2005,4,18,2005-04-18
27.719999999999999,75.5,2005,4,19,2005-04-19
27.379999999999999,76.75,2005,4,20,2005-04-20
27.699999999999999,77.5,2005,4,21,2005-04-21
27.239999999999998,74.25,2005,4,22,2005-04-22
27.02,76.5,2005,4,23,2005-04-23
27.199999999999999,79.5,2005,4,24,2005-04-24
27.239999999999998,80.75,2005,4,25,2005-04-25
27.600000000000001,74.5,2005,4,26,2005-04-26
27.960000000000001,72.25,2005,4,27,2005-04-27
26.52,86.25,2005,4,28,2005-04-28
27.100000000000001,82.75,2005,4,29,2005-04-29
27.379999999999999,80.25,2005,4,30,2005-04-30
26.079999999999998,82.25,2005,5,1,2005-05-01
26.879999999999999,79.25,2005,5,2,2005-05-02
27.219999999999999,76.5,2005,5,3,2005-05-03
26.420000000000002,83,2005,5,4,2005-05-04
25.300000000000001,83.75,2005,5,5,2005-05-05
25.739999999999998,83.25,2005,5,6,2005-05-06
26.280000000000001,89,2005,5,7,2005-05-07
26.120000000000001,81.5,2005,5,8,2005-05-08
25.780000000000001,87.25,2005,5,9,2005-05-09
26.359999999999999,86.5,2005,5,10,2005-05-10
26.059999999999999,90.5,2005,5,11,2005-05-11
24.18,92.5,2005,5,12,2005-05-12
25.739999999999998,90.25,2005,5,13,2005-05-13
25.800000000000001,83,2005,5,14,2005-05-14
25.780000000000001,91.25,2005,5,15,2005-05-15
25.120000000000001,94.25,2005,5,16,2005-05-16
25.559999999999999,90,2005,5,17,2005-05-17
25.960000000000001,81.75,2005,5,18,2005-05-18
25.48,84.5,2005,5,19,2005-05-19
25.899999999999999,86.5,2005,5,20,2005-05-20
25.600000000000001,86.5,2005,5,21,2005-05-21
26.219999999999999,84.25,2005,5,22,2005-05-22
24.280000000000001,92,2005,5,23,2005-05-23
25.719999999999999,86.5,2005,5,24,2005-05-24
25.199999999999999,88.75,2005,5,25,2005-05-25
26.100000000000001,86.5,2005,5,26,2005-05-26
26.02,85.5,2005,5,27,2005-05-27
26.879999999999999,78.75,2005,5,28,2005-05-28
24.960000000000001,89.75,2005,5,29,2005-05-29
25.879999999999999,83,2005,5,30,2005-05-30
25.539999999999999,90.75,2005,5,31,2005-05-31
24.600000000000001,90,2005,6,1,2005-06-01
24.620000000000001,96.25,2005,6,2,2005-06-02
25.760000000000002,78.25,2005,6,3,2005-06-03
25.079999999999998,90.5,2005,6,4,2005-06-04
25.739999999999998,78.75,2005,6,5,2005-06-05
24.420000000000002,87,2005,6,6,2005-06-06
24.920000000000002,88.5,2005,6,7,2005-06-07
24.68,91,2005,6,8,2005-06-08
24.98,85.5,2005,6,9,2005-06-09
24.800000000000001,87,2005,6,10,2005-06-10
25.66,81,2005,6,11,2005-06-11
26.02,82.5,2005,6,12,2005-06-12
25.18,90.25,2005,6,13,2005-06-13
24.02,96,2005,6,14,2005-06-14
24.859999999999999,85.25,2005,6,15,2005-06-15
25.34,85.5,2005,6,16,2005-06-16
25.300000000000001,92.25,2005,6,17,2005-06-17
23.68,95.25,2005,6,18,2005-06-18
24.859999999999999,90.5,2005,6,19,2005-06-19
25.800000000000001,86.75,2005,6,20,2005-06-20
24.899999999999999,87.5,2005,6,21,2005-06-21
25.260000000000002,82.25,2005,6,22,2005-06-22
23.879999999999999,88.5,2005,6,23,2005-06-23
24.219999999999999,92.75,2005,6,24,2005-06-24
24.960000000000001,85.75,2005,6,25,2005-06-25
24.219999999999999,87,2005,6,26,2005-06-26
23.760000000000002,91,2005,6,27,2005-06-27
24.079999999999998,88.5,2005,6,28,2005-06-28
24.68,79,2005,6,29,2005-06-29
24.539999999999999,84.25,2005,6,30,2005-06-30
22.84,93.5,2005,7,1,2005-07-01
24.48,85.75,2005,7,2,2005-07-02
25.34,81,2005,7,3,2005-07-03
24.760000000000002,80.25,2005,7,4,2005-07-04
24.140000000000001,83.75,2005,7,5,2005-07-05
24.879999999999999,81.5,2005,7,6,2005-07-06
25.059999999999999,86.5,2005,7,7,2005-07-07
24,81.5,2005,7,8,2005-07-08
24,92.25,2005,7,9,2005-07-09
24.239999999999998,83,2005,7,10,2005-07-10
25.98,77.75,2005,7,11,2005-07-11
23.52,79.5,2005,7,12,2005-07-12
22.66,92.25,2005,7,13,2005-07-13
23.940000000000001,82.25,2005,7,14,2005-07-14
25.140000000000001,64.25,2005,7,15,2005-07-15
23.420000000000002,75.75,2005,7,16,2005-07-16
23.940000000000001,82.75,2005,7,17,2005-07-17
22.940000000000001,96.25,2005,7,18,2005-07-18
25.199999999999999,83.25,2005,7,19,2005-07-19
25.440000000000001,78.5,2005,7,20,2005-07-20
25.140000000000001,75.5,2005,7,21,2005-07-21
24.640000000000001,80.5,2005,7,22,2005-07-22
23.719999999999999,79.5,2005,7,23,2005-07-23
24.5,73.5,2005,7,24,2005-07-24
25.379999999999999,73.25,2005,7,25,2005-07-25
24.239999999999998,78,2005,7,26,2005-07-26
23.940000000000001,81.5,2005,7,27,2005-07-27
23.34,91.25,2005,7,28,2005-07-28
23.219999999999999,81.5,2005,7,29,2005-07-29
23.760000000000002,77.75,2005,7,30,2005-07-30
23.82,79.25,2005,7,31,2005-07-31
23.260000000000002,88.75,2005,8,1,2005-08-01
23.239999999999998,87.25,2005,8,2,2005-08-02
24.48,86,2005,8,3,2005-08-03
24.600000000000001,84,2005,8,4,2005-08-04
24,89.75,2005,8,5,2005-08-05
24.579999999999998,79,2005,8,6,2005-08-06
23.640000000000001,73.5,2005,8,7,2005-08-07
23.399999999999999,80.5,2005,8,8,2005-08-08
23.940000000000001,82.75,2005,8,9,2005-08-09
23.879999999999999,84.25,2005,8,10,2005-08-10
24.66,79.25,2005,8,11,2005-08-11
24.66,82.75,2005,8,12,2005-08-12
24.140000000000001,78.5,2005,8,13,2005-08-13
24.559999999999999,83,2005,8,14,2005-08-14
23.539999999999999,93.25,2005,8,15,2005-08-15
24.460000000000001,76.75,2005,8,16,2005-08-16
23.960000000000001,84.5,2005,8,17,2005-08-17
23.98,87.25,2005,8,18,2005-08-18
24.440000000000001,80.25,2005,8,19,2005-08-19
23.359999999999999,85.25,2005,8,20,2005-08-20
23.620000000000001,89,2005,8,21,2005-08-21
24.52,81.5,2005,8,22,2005-08-22
23.16,94.75,2005,8,23,2005-08-23
23.300000000000001,95.5,2005,8,24,2005-08-24
23.399999999999999,91.25,2005,8,25,2005-08-25
24.579999999999998,80.5,2005,8,26,2005-08-26
24.460000000000001,78.5,2005,8,27,2005-08-27
24.559999999999999,84.5,2005,8,28,2005-08-28
25.440000000000001,75.75,2005,8,29,2005-08-29
25.379999999999999,75.5,2005,8,30,2005-08-30
25.32,73,2005,8,31,2005-08-31
25.460000000000001,78.5,2005,9,1,2005-09-01
24.579999999999998,81.75,2005,9,2,2005-09-02
25.199999999999999,80,2005,9,3,2005-09-03
25.300000000000001,76.5,2005,9,4,2005-09-04
24.539999999999999,83,2005,9,5,2005-09-05
